#,Traffic (desc),Traffic (Percent %),# of Keywords,Referring Domains,URL,Top Keyword,Its Volume,Position,Page URL inside,Traffic value
208,3750,0.07,21,153,https://www.gsmarena.com/zte_nubia_red_magic_5g-10071.php,red magic 5g,7300,1,,11
209,3736,0.07,36,263,https://www.gsmarena.com/huawei_p30-9530.php,p30,6600,1,,1311
210,3729,0.07,111,179,https://www.gsmarena.com/blackberry_keyone-8508.php,blackberry keyone,5500,1,,114
211,3723,0.07,43,93,https://www.gsmarena.com/motorola_moto_g7_plus-9533.php,moto g7 plus,16000,1,,3
212,3674,0.07,153,174,https://www.gsmarena.com/samsung_galaxy_tab_s5e-9581.php,galaxy tab s5e,25000,5,,1269
213,3664,0.07,163,97,https://www.gsmarena.com/motorola_moto_g6_play-9002.php,moto g6 play,11000,1,,1
214,3651,0.07,572,387,https://www.gsmarena.com/htc_one_(m8)-6074.php,htc one m8 specs,700,1,,2907
215,3611,0.07,54,137,https://www.gsmarena.com/vivo-phones-98.php,vivo,60000,3,,2724
216,3604,0.07,392,190,https://www.gsmarena.com/samsung_galaxy_tab_a_8_0_(2019)-9760.php,galaxy tab a 8.0,11000,5,,3685
217,3603,0.07,38,183,https://www.gsmarena.com/xiaomi_redmi_note_7_pro-9521.php,redmi note 7,11000,3,,88
218,3602,0.07,438,341,https://www.gsmarena.com/sony_ericsson-phones-19.php,sony ericsson,8000,5,,950
219,3600,0.07,681,119,https://www.gsmarena.com/samsung_galaxy_core_prime-6716.php,samsung galaxy core prime,3500,1,,2511
220,3585,0.07,597,129,https://www.gsmarena.com/motorola_moto_x_style-7229.php,moto x style,500,1,,3291
221,3583,0.07,180,259,https://www.gsmarena.com/samsung_galaxy_a5_(2017)-8494.php,galaxy a5 2017,1800,1,,4185
222,3553,0.07,4,8,https://www.gsmarena.com/xiaomi_redmi_note_9-reviews-10192.php,redmi note 9,48000,6,,0
223,3536,0.07,144,83,https://www.gsmarena.com/apple_ipad_pro_11_(2021)-10865.php,ipad pro 11,33000,3,,3612
224,3534,0.07,36,210,https://www.gsmarena.com/google_pixel_4a_5g-10385.php,pixel 4a 5g,27000,6,,113
225,3516,0.07,76,112,https://www.gsmarena.com/samsung_galaxy_tab_s7_fe_gets_official_in_germany_starts_at__euro649-news-49279.php,samsung galaxy s7,98000,6,Top stories,6688
226,3504,0.07,21,142,https://www.gsmarena.com/honor_10-9157.php,honor 10,7100,1,,12
227,3494,0.07,12,111,https://www.gsmarena.com/motorola_moto_g8_plus-9916.php,moto g8 plus,25000,3,,0
228,3450,0.07,181,169,https://www.gsmarena.com/sony_xperia_z5_premium-7536.php,sony xperia z5 premium,1400,1,,882
229,3440,0.07,336,297,https://www.gsmarena.com/oneplus_6t-9350.php,oneplus 6t specs,5200,1,,732
230,3438,0.07,361,85,https://www.gsmarena.com/samsung_galaxy_j7_(2018)-9234.php,samsung galaxy j7 crown specs,1000,1,,77
231,3396,0.07,439,491,https://www.gsmarena.com/apple_iphone_xr-9320.php,iphone xr dimensions,7900,1,Featured snippet,78
